[ui][nex_ui_on_click] register callback | widget=5, callback=0x1f1a75107ff
[ui][nex_ui_on_click] register callback | widget=6, callback=0x1f1a7510831
[ui][nex_ui_on_click] register callback | widget=14, callback=0x1f1a75009c2
[ui][nex_ui_on_click] register callback | widget=15, callback=0x1f1a7500a08
[ui][nex_ui_on_click] register callback | widget=22, callback=0x1f1a7500a4e
[ui][nex_ui_on_click] register callback | widget=24, callback=0x1f1a7500a97
[ui][nex_ui_on_click] register callback | widget=25, callback=0x1f1a7500ae0
[ui][nex_ui_on_click] register callback | widget=31, callback=0x1f1a74f07c6
[ui][nex_ui_on_click] register callback | widget=32, callback=0x1f1a74f085a
[ui][nex_ui_on_click] register callback | widget=33, callback=0x1f1a74f08ec
[ui][nex_ui_on_change] register callback | widget=37, callback=0x1f1a74f0bb0
[ui][nex_ui_on_click] register callback | widget=38, callback=0x1f1a74f0c42
